ID,Education,JoiningYear,City,Age,ExperienceInCurrentDomain,PersonalityType,ProjectDescription,SoftSkill
50,Bachelors,2013,Bangalore,30,1,8,Project related to optimizing existing software using technology HTML and framework Vue.,"['Persuasion', 'Assertiveness', 'Decision-making', 'Empathy']"
51,PHD,2017,New Delhi,34,2,6,Project related to creating user interfaces using technology Ruby and framework Django.,"['Change management', 'Risk management', 'Ability to work in a diverse environment', 'Negotiation', 'Critical thinking', 'Time management']"
52,Bachelors,2015,Pune,26,4,8,Project related to developing an API using technology CSS and framework Django.,"['Adaptability to change', 'Team management', 'Presentation skills', 'Persuasion']"
53,Bachelors,2016,Bangalore,34,0,8,Project related to enhancing system performance using technology C# and framework Angular.,"['Critical thinking', 'Critical assessment skills', 'Networking', 'Adaptability to change', 'Listening skills', 'Persuasion']"
54,Bachelors,2014,Bangalore,31,5,4,Project related to creating user interfaces using technology HTML and framework Django.,"['Conflict management', 'Organization', 'Change management', 'Project management', 'Flexibility', 'Teamwork']"
55,Bachelors,2017,New Delhi,31,5,1,Project related to developing a mobile application using technology CSS and framework Spring.,"['Flexibility', 'Listening skills', 'Problem-solving', 'Creativity', 'Time management']"
56,PHD,2013,New Delhi,28,2,8,Project related to creating a responsive design using technology HTML and framework React.,"['Risk management', 'Change management', 'Presentation skills', 'Persuasion']"
57,Bachelors,2016,Bangalore,38,2,5,Project related to conducting user research using technology C# and framework Angular.,"['Problem-solving', 'Ability to work in a diverse environment', 'Project management', 'Team management', 'Creativity']"
58,Masters,2014,Pune,39,2,1,Project related to automating testing processes using technology JavaScript and framework Django.,"['Collaboration', 'Teamwork', 'Organization', 'Ability to work in a diverse environment']"
59,Bachelors,2013,Pune,32,4,7,Project related to designing a database schema using technology C# and framework React.,"['Organization', 'Teamwork', 'Team management', 'Creativity', 'Stress management', 'Interpersonal communication']"
60,Masters,2017,Pune,36,2,8,Project related to conducting user research using technology PHP and framework Vue.,"['Motivation', 'Time management', 'Decision-making', 'Networking', 'Flexibility']"
61,Masters,2013,New Delhi,29,3,8,Project related to creating a web application using technology Python and framework Vue.,"['Emotional intelligence', 'Time management', 'Change management', 'Empathy']"
62,Bachelors,2015,Bangalore,30,5,8,Project related to automating testing processes using technology C# and framework Spring.,"['Assertiveness', 'Flexibility', 'Empathy']"
63,PHD,2013,Bangalore,25,3,4,Project related to optimizing existing software using technology C# and framework Vue.,"['Interpersonal communication', 'Critical assessment skills', 'Negotiation', 'Teamwork', 'Adaptability to change', 'Critical thinking']"
64,Bachelors,2014,Pune,22,0,3,Project related to deploying applications to the cloud using technology SQL and framework Django.,"['Interpersonal communication', 'Listening skills', 'Persuasion', 'Decision-making', 'Assertiveness', 'Collaboration']"
65,Bachelors,2016,Bangalore,34,4,1,Project related to implementing security measures using technology HTML and framework Vue.,"['Creativity', 'Critical assessment skills', 'Adaptability to change', 'Data analysis', 'Strategic thinking']"
66,Bachelors,2018,Bangalore,40,1,1,Project related to building a content management system using technology C# and framework Flask.,"['Project management', 'Presentation skills', 'Time management', 'Ability to work in a diverse environment']"
67,PHD,2013,Bangalore,26,4,5,Project related to creating a responsive design using technology HTML and framework Spring.,"['Flexibility', 'Time management', 'Adaptability to change']"
68,Bachelors,2014,New Delhi,28,0,4,Project related to deploying applications to the cloud using technology CSS and framework Spring.,"['Decision-making', 'Collaboration', 'Problem-solving']"
69,Bachelors,2015,Bangalore,24,2,8,Project related to implementing a data management system using technology C# and framework Django.,"['Critical assessment skills', 'Project management', 'Teamwork', 'Emotional intelligence']"
70,Masters,2017,Bangalore,40,2,7,Project related to creating a web application using technology Java and framework React.,"['Assertiveness', 'Negotiation', 'Motivation', 'Data analysis']"
71,Bachelors,2018,Bangalore,23,1,3,Project related to enhancing system performance using technology SQL and framework Flask.,"['Decision-making', 'Presentation skills', 'Adaptability to change', 'Data analysis', 'Stress management', 'Problem-solving']"
72,Masters,2017,Bangalore,31,4,4,Project related to creating a responsive design using technology Java and framework Flask.,"['Decision-making', 'Listening skills', 'Ability to work in a diverse environment', 'Change management', 'Data analysis']"
73,Bachelors,2014,Pune,25,3,4,Project related to writing technical documentation using technology CSS and framework Flask.,"['Collaboration', 'Presentation skills', 'Ability to work in a diverse environment', 'Emotional intelligence', 'Negotiation']"
74,Bachelors,2014,Bangalore,27,5,6,Project related to creating a data visualization dashboard using technology JavaScript and framework Angular.,"['Networking', 'Flexibility', 'Ability to work in a diverse environment', 'Presentation skills', 'Empathy', 'Collaboration']"
75,Masters,2017,New Delhi,25,3,5,Project related to implementing security measures using technology JavaScript and framework Flask.,"['Assertiveness', 'Decision-making', 'Data analysis', 'Risk management', 'Time management']"
76,Bachelors,2015,Bangalore,40,0,1,Project related to creating user interfaces using technology Python and framework Vue.,"['Flexibility', 'Team management', 'Project management']"
77,Bachelors,2014,Bangalore,23,1,3,Project related to developing an API using technology SQL and framework Ruby on Rails.,"['Collaboration', 'Listening skills', 'Critical thinking', 'Data analysis', 'Conflict management', 'Assertiveness']"
78,Bachelors,2017,Bangalore,23,1,5,Project related to developing a chatbot using technology Python and framework Spring.,"['Conflict management', 'Emotional intelligence', 'Collaboration', 'Motivation', 'Leadership']"
79,Bachelors,2012,Bangalore,39,1,5,Project related to designing a database schema using technology CSS and framework Ruby on Rails.,"['Ability to work in a diverse environment', 'Collaboration', 'Teamwork', 'Leadership']"
80,PHD,2015,New Delhi,37,1,7,Project related to designing a database schema using technology JavaScript and framework Flask.,"['Critical assessment skills', 'Assertiveness', 'Networking', 'Empathy', 'Creativity']"
81,Bachelors,2017,Pune,38,2,3,Project related to conducting user research using technology Ruby and framework Angular.,"['Team management', 'Organization', 'Project management', 'Assertiveness', 'Interpersonal communication']"
82,Bachelors,2013,Bangalore,31,0,3,Project related to creating a responsive design using technology SQL and framework Angular.,"['Assertiveness', 'Stress management', 'Decision-making', 'Motivation', 'Adaptability to change', 'Risk management']"
83,Bachelors,2016,Bangalore,38,5,1,Project related to optimizing existing software using technology Python and framework Spring.,"['Emotional intelligence', 'Risk management', 'Decision-making', 'Change management', 'Interpersonal communication', 'Ability to work in a diverse environment']"
84,Bachelors,2017,Bangalore,25,3,8,Project related to building a content management system using technology Python and framework Angular.,"['Stress management', 'Risk management', 'Data analysis', 'Networking', 'Assertiveness', 'Interpersonal communication']"
85,Bachelors,2015,Bangalore,27,5,7,Project related to conducting user research using technology Ruby and framework Django.,"['Presentation skills', 'Adaptability to change', 'Motivation', 'Interpersonal communication', 'Project management']"
86,Bachelors,2016,Pune,36,0,2,Project related to optimizing existing software using technology Ruby and framework Django.,"['Leadership', 'Networking', 'Empathy', 'Interpersonal communication']"
87,Bachelors,2017,Pune,27,5,4,Project related to deploying applications to the cloud using technology C# and framework Ruby on Rails.,"['Negotiation', 'Risk management', 'Teamwork', 'Leadership']"
88,Masters,2015,Pune,32,4,7,Project related to creating a web application using technology Python and framework Flask.,"['Creativity', 'Persuasion', 'Listening skills', 'Flexibility', 'Empathy']"
89,Bachelors,2014,Bangalore,28,4,5,Project related to enhancing system performance using technology Python and framework Spring.,"['Decision-making', 'Motivation', 'Collaboration']"
90,Masters,2012,New Delhi,32,2,8,Project related to creating a data visualization dashboard using technology Python and framework React.,"['Organization', 'Collaboration', 'Strategic thinking']"
91,Bachelors,2018,Bangalore,30,0,2,Project related to enhancing system performance using technology Python and framework React.,"['Teamwork', 'Emotional intelligence', 'Conflict management']"
92,Bachelors,2015,New Delhi,22,0,8,Project related to creating user interfaces using technology JavaScript and framework Angular.,"['Decision-making', 'Critical thinking', 'Strategic thinking']"
93,Bachelors,2017,New Delhi,34,5,8,Project related to enhancing system performance using technology HTML and framework Spring.,"['Decision-making', 'Problem-solving', 'Data analysis']"
94,Masters,2013,New Delhi,36,2,5,Project related to developing an API using technology Ruby and framework Vue.,"['Persuasion', 'Empathy', 'Critical assessment skills', 'Teamwork', 'Flexibility']"
95,Bachelors,2014,Bangalore,39,3,4,Project related to developing a chatbot using technology SQL and framework Angular.,"['Teamwork', 'Problem-solving', 'Critical thinking', 'Stress management']"
96,PHD,2018,Bangalore,26,4,7,Project related to conducting user research using technology JavaScript and framework Ruby on Rails.,"['Negotiation', 'Change management', 'Strategic thinking', 'Time management']"
97,Bachelors,2016,Bangalore,31,0,4,Project related to implementing security measures using technology PHP and framework Angular.,"['Decision-making', 'Critical assessment skills', 'Team management']"
98,Bachelors,2014,Bangalore,27,5,8,Project related to integrating various systems using technology Ruby and framework Spring.,"['Decision-making', 'Organization', 'Critical assessment skills']"
99,Bachelors,2014,Bangalore,29,0,6,Project related to conducting user research using technology Java and framework Django.,"['Adaptability to change', 'Networking', 'Leadership', 'Motivation', 'Teamwork']"
100,Bachelors,2015,Bangalore,24,2,2,Project related to implementing continuous integration and deployment (CI/CD) using technology Python and framework Angular.,"['Collaboration', 'Adaptability to change', 'Presentation skills']"
101,Masters,2012,Pune,25,3,1,Project related to enhancing system performance using technology C# and framework Spring.,"['Empathy', 'Teamwork', 'Negotiation', 'Leadership', 'Organization']"
102,Bachelors,2013,Pune,25,3,5,Project related to integrating various systems using technology CSS and framework Flask.,"['Organization', 'Adaptability to change', 'Problem-solving', 'Interpersonal communication', 'Decision-making', 'Time management']"
103,Masters,2017,New Delhi,26,4,5,Project related to developing a mobile application using technology Java and framework Ruby on Rails.,"['Interpersonal communication', 'Listening skills', 'Adaptability to change', 'Decision-making']"
104,Bachelors,2015,Pune,28,1,1,Project related to creating a responsive design using technology Python and framework Vue.,"['Stress management', 'Data analysis', 'Emotional intelligence']"
105,Bachelors,2017,New Delhi,28,2,3,Project related to creating user interfaces using technology JavaScript and framework Ruby on Rails.,"['Adaptability to change', 'Emotional intelligence', 'Data analysis', 'Motivation', 'Negotiation']"
106,Masters,2015,Pune,28,3,3,Project related to creating a data visualization dashboard using technology SQL and framework Ruby on Rails.,"['Persuasion', 'Empathy', 'Critical assessment skills', 'Stress management']"
107,Masters,2015,New Delhi,25,3,8,Project related to creating a responsive design using technology C# and framework Vue.,"['Leadership', 'Creativity', 'Flexibility', 'Networking', 'Negotiation', 'Stress management']"
108,Bachelors,2017,Bangalore,28,1,4,Project related to integrating various systems using technology PHP and framework Ruby on Rails.,"['Persuasion', 'Adaptability to change', 'Stress management', 'Time management', 'Collaboration']"
109,Masters,2013,Pune,25,3,4,Project related to implementing continuous integration and deployment (CI/CD) using technology HTML and framework Flask.,"['Project management', 'Collaboration', 'Ability to work in a diverse environment', 'Stress management', 'Listening skills']"
110,Bachelors,2015,Bangalore,25,3,1,Project related to building a content management system using technology HTML and framework Flask.,"['Collaboration', 'Leadership', 'Data analysis', 'Team management', 'Presentation skills', 'Listening skills']"
111,Bachelors,2015,Bangalore,27,5,7,Project related to developing a mobile application using technology Java and framework Flask.,"['Emotional intelligence', 'Assertiveness', 'Motivation']"
112,Bachelors,2017,Pune,27,5,7,Project related to developing a chatbot using technology SQL and framework Vue.,"['Emotional intelligence', 'Negotiation', 'Empathy', 'Stress management', 'Problem-solving', 'Critical assessment skills']"
113,Bachelors,2013,Bangalore,27,5,4,Project related to designing a database schema using technology JavaScript and framework Vue.,"['Emotional intelligence', 'Flexibility', 'Data analysis']"
114,Bachelors,2012,Bangalore,25,3,1,Project related to developing an API using technology JavaScript and framework React.,"['Creativity', 'Leadership', 'Interpersonal communication', 'Teamwork']"
115,Masters,2017,New Delhi,28,2,2,Project related to implementing continuous integration and deployment (CI/CD) using technology HTML and framework Spring.,"['Stress management', 'Organization', 'Project management', 'Interpersonal communication', 'Change management']"
116,Bachelors,2014,Pune,26,4,5,Project related to optimizing existing software using technology CSS and framework React.,"['Stress management', 'Decision-making', 'Ability to work in a diverse environment', 'Creativity']"
117,Bachelors,2015,Bangalore,28,2,1,Project related to building a machine learning model using technology Java and framework React.,"['Critical assessment skills', 'Change management', 'Team management', 'Networking']"
118,Masters,2013,New Delhi,26,4,4,Project related to implementing continuous integration and deployment (CI/CD) using technology HTML and framework Ruby on Rails.,"['Networking', 'Data analysis', 'Problem-solving', 'Critical assessment skills', 'Persuasion']"
119,Bachelors,2017,Bangalore,26,4,2,Project related to conducting user research using technology PHP and framework Angular.,"['Critical thinking', 'Critical assessment skills', 'Creativity', 'Strategic thinking', 'Collaboration']"
120,Bachelors,2017,New Delhi,25,3,2,Project related to writing technical documentation using technology Python and framework React.,"['Motivation', 'Strategic thinking', 'Change management', 'Persuasion']"
121,Bachelors,2012,Bangalore,28,3,2,Project related to creating a data visualization dashboard using technology Ruby and framework Django.,"['Critical thinking', 'Leadership', 'Persuasion']"
122,PHD,2015,New Delhi,26,4,4,Project related to building a content management system using technology JavaScript and framework Angular.,"['Strategic thinking', 'Teamwork', 'Collaboration', 'Team management']"
123,Bachelors,2015,New Delhi,25,3,4,Project related to building a machine learning model using technology C# and framework Vue.,"['Data analysis', 'Listening skills', 'Strategic thinking', 'Networking']"
124,Bachelors,2012,Bangalore,26,4,3,Project related to implementing continuous integration and deployment (CI/CD) using technology SQL and framework Django.,"['Presentation skills', 'Teamwork', 'Interpersonal communication']"
125,Bachelors,2014,Bangalore,28,3,8,Project related to optimizing existing software using technology JavaScript and framework Ruby on Rails.,"['Flexibility', 'Strategic thinking', 'Persuasion', 'Project management']"
126,Masters,2014,Pune,24,2,5,Project related to implementing continuous integration and deployment (CI/CD) using technology PHP and framework Vue.,"['Creativity', 'Strategic thinking', 'Risk management', 'Listening skills', 'Empathy']"
127,Bachelors,2013,Bangalore,28,1,8,Project related to implementing continuous integration and deployment (CI/CD) using technology HTML and framework Django.,"['Leadership', 'Motivation', 'Adaptability to change', 'Stress management']"
128,Bachelors,2015,Pune,27,5,3,Project related to designing a database schema using technology C# and framework Vue.,"['Conflict management', 'Presentation skills', 'Leadership', 'Project management']"
129,Bachelors,2018,Bangalore,25,3,6,Project related to creating a data visualization dashboard using technology CSS and framework Spring.,"['Flexibility', 'Motivation', 'Emotional intelligence']"
130,Masters,2013,Pune,24,2,7,Project related to implementing continuous integration and deployment (CI/CD) using technology Python and framework React.,"['Critical assessment skills', 'Time management', 'Interpersonal communication', 'Stress management', 'Motivation', 'Flexibility']"
131,Bachelors,2017,Bangalore,26,4,2,Project related to creating a web application using technology CSS and framework React.,"['Change management', 'Data analysis', 'Negotiation', 'Adaptability to change']"
132,Bachelors,2013,Bangalore,28,1,3,Project related to developing an API using technology JavaScript and framework Angular.,"['Empathy', 'Stress management', 'Teamwork', 'Leadership']"
133,Masters,2016,New Delhi,27,5,8,Project related to building a machine learning model using technology PHP and framework React.,"['Interpersonal communication', 'Change management', 'Networking', 'Collaboration']"
134,Masters,2017,Bangalore,26,4,1,Project related to developing an API using technology Ruby and framework Ruby on Rails.,"['Teamwork', 'Critical assessment skills', 'Emotional intelligence']"
135,Masters,2017,New Delhi,24,2,1,Project related to writing technical documentation using technology CSS and framework Flask.,"['Team management', 'Time management', 'Assertiveness', 'Creativity', 'Project management', 'Decision-making']"
136,Masters,2018,New Delhi,26,4,1,Project related to implementing a data management system using technology Java and framework Spring.,"['Motivation', 'Creativity', 'Empathy', 'Conflict management']"
137,Masters,2017,New Delhi,25,3,3,Project related to developing a mobile application using technology Python and framework Django.,"['Interpersonal communication', 'Decision-making', 'Empathy', 'Critical thinking', 'Emotional intelligence']"
138,Bachelors,2012,Pune,28,2,1,Project related to developing a chatbot using technology JavaScript and framework Vue.,"['Data analysis', 'Flexibility', 'Critical assessment skills', 'Organization', 'Presentation skills']"
139,Bachelors,2017,New Delhi,28,2,4,Project related to automating testing processes using technology Python and framework Flask.,"['Critical assessment skills', 'Conflict management', 'Strategic thinking']"
140,Bachelors,2013,Bangalore,26,4,6,Project related to designing a database schema using technology JavaScript and framework Flask.,"['Adaptability to change', 'Change management', 'Creativity', 'Time management', 'Critical assessment skills']"
141,Masters,2013,New Delhi,27,5,7,Project related to developing an API using technology PHP and framework Spring.,"['Persuasion', 'Creativity', 'Problem-solving', 'Flexibility', 'Strategic thinking']"
142,Bachelors,2017,Pune,24,2,1,Project related to developing a chatbot using technology C# and framework React.,"['Flexibility', 'Problem-solving', 'Listening skills', 'Persuasion', 'Interpersonal communication', 'Critical assessment skills']"
143,Bachelors,2017,New Delhi,28,2,3,Project related to deploying applications to the cloud using technology C# and framework Flask.,"['Critical assessment skills', 'Problem-solving', 'Adaptability to change', 'Motivation', 'Change management']"
144,Bachelors,2016,Bangalore,26,4,6,Project related to implementing security measures using technology PHP and framework Ruby on Rails.,"['Time management', 'Listening skills', 'Motivation', 'Flexibility', 'Strategic thinking', 'Interpersonal communication']"
145,Bachelors,2013,Bangalore,27,5,5,Project related to creating a web application using technology CSS and framework Vue.,"['Organization', 'Conflict management', 'Critical assessment skills']"
146,Masters,2015,Pune,28,3,1,Project related to enhancing system performance using technology CSS and framework Vue.,"['Flexibility', 'Interpersonal communication', 'Adaptability to change', 'Empathy', 'Motivation']"
147,Bachelors,2014,Bangalore,25,3,4,Project related to writing technical documentation using technology PHP and framework Vue.,"['Risk management', 'Collaboration', 'Listening skills', 'Stress management', 'Adaptability to change', 'Emotional intelligence']"
148,Bachelors,2016,Pune,28,1,1,Project related to creating a data visualization dashboard using technology JavaScript and framework Flask.,"['Interpersonal communication', 'Project management', 'Problem-solving']"
149,Masters,2013,Bangalore,25,3,2,Project related to creating user interfaces using technology Ruby and framework Spring.,"['Time management', 'Team management', 'Negotiation', 'Emotional intelligence', 'Strategic thinking']"
150,Bachelors,2015,Pune,26,4,4,Project related to developing a mobile application using technology Ruby and framework Ruby on Rails.,"['Assertiveness', 'Flexibility', 'Ability to work in a diverse environment']"
151,Bachelors,2018,New Delhi,27,5,4,Project related to automating testing processes using technology PHP and framework React.,"['Teamwork', 'Risk management', 'Problem-solving', 'Adaptability to change']"
152,Bachelors,2016,Bangalore,24,2,8,Project related to designing a database schema using technology CSS and framework Spring.,"['Critical thinking', 'Ability to work in a diverse environment', 'Risk management', 'Strategic thinking', 'Project management', 'Assertiveness']"
153,Bachelors,2012,Pune,24,2,3,Project related to implementing continuous integration and deployment (CI/CD) using technology C# and framework Ruby on Rails.,"['Conflict management', 'Stress management', 'Risk management', 'Strategic thinking', 'Presentation skills']"
154,Bachelors,2014,Bangalore,26,4,8,Project related to integrating various systems using technology SQL and framework Ruby on Rails.,"['Leadership', 'Empathy', 'Ability to work in a diverse environment']"
155,Bachelors,2016,Pune,24,2,6,Project related to implementing security measures using technology CSS and framework Angular.,"['Risk management', 'Data analysis', 'Project management', 'Leadership']"
156,Masters,2012,New Delhi,26,4,5,Project related to conducting user research using technology PHP and framework Ruby on Rails.,"['Empathy', 'Team management', 'Problem-solving', 'Networking', 'Change management']"
157,Bachelors,2013,Bangalore,28,3,8,Project related to conducting user research using technology JavaScript and framework Vue.,"['Collaboration', 'Motivation', 'Conflict management', 'Presentation skills']"
158,Bachelors,2012,Bangalore,24,2,2,Project related to optimizing existing software using technology CSS and framework Vue.,"['Collaboration', 'Conflict management', 'Ability to work in a diverse environment']"
159,Bachelors,2015,Bangalore,25,3,5,Project related to developing a chatbot using technology C# and framework Angular.,"['Networking', 'Presentation skills', 'Critical thinking']"
160,Bachelors,2016,Bangalore,28,3,4,Project related to creating a data visualization dashboard using technology C# and framework Vue.,"['Creativity', 'Empathy', 'Persuasion', 'Risk management', 'Emotional intelligence', 'Interpersonal communication']"
161,Bachelors,2014,Bangalore,28,3,4,Project related to creating user interfaces using technology Python and framework Vue.,"['Networking', 'Risk management', 'Assertiveness', 'Ability to work in a diverse environment']"
